,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,THE YELLOW MONKEY,BURN - 2022 Remaster,0CWMvNHwdKl3xTJDWsni5O,38,0.489,0.964,0,-2.911,1,0.0856,0.025,1.34e-06,0.343,0.31,116.086,315520,4
34,Chippoke Ohashi,嫌でもね,0vMirJzqc32hw8gzMISrga,55,0.489,0.911,11,-5.015,1,0.15,0.00357,0.000497,0.092,0.713,204.143,186840,4
35,THE YELLOW MONKEY,楽園 - 2022 Remaster,6WKZjgCRq0w1OAZAjdetZi,37,0.369,0.974,4,-2.321,1,0.0782,0.000963,3.34e-06,0.0866,0.372,114.869,282773,4
36,IVE,LOVE DIVE,0Q5VnK2DYzRyfqQRJuUtvi,86,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
37,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",0eRHyLCekRpdkuuFu237b7,0,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,212800,4
38,HIRAIDAI,願いごと,7Lk3bl1VFAcW9KFfXqL4S7,54,0.668,0.608,8,-5.573,1,0.0383,0.135,0.0,0.201,0.762,84.904,177497,4
39,Nelly,Hot In Herre,4RXPyem2nYsL4550eP6bDF,0,0.957,0.745,11,-4.753,0,0.121,0.203,0.0,0.0615,0.913,107.077,228240,4
40,Vaundy,おもかげ -self cover-,6uqewERWZ1vzfCcin1zFIp,60,0.553,0.756,8,-5.155,1,0.0379,0.00138,7.49e-05,0.0591,0.937,190.02,209920,4
41,Swedish House Mafia,Don't You Worry Child - Radio Edit,6MARDAexLrAjVz5fNDW9WO,0,0.609,0.83,11,-3.229,0,0.0552,0.117,0.0,0.18,0.478,128.986,211360,4
42,Saucy Dog,優しさに溢れた世界で,2mRMcwDCNyYvBXaoUxmsmE,72,0.518,0.773,2,-7.454,1,0.0468,0.237,3.61e-06,0.126,0.526,147.937,258208,4
43,Zedd,Stay,2tkPgj0Voqw5s2B4BsKxnU,0,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,210400,4
44,Kep1er,WA DA DA,0hQNbQKW2dDATH1ngj4TI6,69,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,183693,4
