Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
731,Halsey,So Good,6kxaaIeowajN7w21PfMLbu,83,0.576,0.627,3,-4.649,0,0.0449,0.0385,0.0,0.181,0.311,164.998,176059,4
56,BTS,Butter,6jjYDGxVJsWS0a5wlVF5vS,82,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4
253,TOMORROW X TOGETHER,Good Boy Gone Bad,1HsSIPLTQT354yJcQGfEY3,81,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,191038,4
289,Jung Kook,Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep,81,0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096,210928,4
714,Charlie Puth,That's Hilarious,1jIMjbzcGCcCQn5iMu9CUc,81,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039,146855,4
119,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,81,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,197587,4
220,ENHYPEN,Polaroid Love,5elW2CKSoqjYoJ32AGDxf1,80,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
210,Red Velvet,Feel My Rhythm,2oBMZYteeO8DyXV9gDx6Za,79,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,210253,4
298,NCT DREAM,Beatbox,0CatzXH85XWyBqqdB6qPMB,79,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,205133,4
4,SEKAI NO OWARI,Habit,2uMNMcjjUz8oNIxjIu20qE,78,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4
0,Official HIGE DANdism,ミックスナッツ,60ReNXcPcsVFd7nUuQw5HZ,77,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4
710,Lauv,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5,77,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,183014,4
243,aespa,Illusion,5uFqjHOo3Sh0bVPCKf3DdH,77,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027,195053,4
232,aespa,Life's Too Short (English Version),2mgzUVvDpb1zMSB4glLQ6T,77,0.472,0.8,0,-3.681,1,0.265,0.289,0.0,0.149,0.548,72.203,178133,4
212,GOT the beat,Step Back,3LCwQoTrdQgHsGJE5gGVqx,77,0.636,0.81,1,-2.035,1,0.101,0.0205,1.04e-05,0.596,0.611,161.897,228613,4
378,Stray Kids,CIRCUS,2uw2ftfyS4yJLWiTtbxasE,76,0.767,0.809,5,-3.734,0,0.0958,0.0337,0.0,0.0353,0.69,97.958,194440,4
174,SEVENTEEN,Darl+ing,6vo0dV9t7PCQZKsLFwVwZ5,75,0.71,0.686,0,-4.926,1,0.0713,0.296,0.0,0.492,0.483,96.06,176547,4
352,The Chainsmokers,I Love U,3MJE5DoCeAWP7cDbW9Hgm5,75,0.651,0.719,8,-5.804,1,0.0318,0.143,3.62e-05,0.0948,0.81,103.981,185523,4
46,Ado,新時代 - ウタ from ONE PIECE FILM RED,2l2yRJWgMiJkfPbRNiuC25,74,0.494,0.986,7,-2.262,1,0.243,0.0505,4.41e-06,0.334,0.421,175.003,228214,4
497,ENHYPEN,Future Perfect (Pass the MIC),6PRy17C5LiiN7VCLS6IA98,74,0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096,180750,4
8,Gen Hoshino,喜劇,6pllZAdgBf4QTcFUrF3DzL,74,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230667,4
12,King Gnu,カメレオン,0J0P8iSE6l3pYHbUdNFYdS,74,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,193990,4
401,LE SSERAFIM,Blue Flame,37YoRLUu1qId0ewavgvnkG,74,0.781,0.725,4,-3.571,0,0.0452,0.0281,0.0,0.0761,0.765,112.045,201895,4
20,Yuuri,ベテルギウス,4JK1kDUdH9RTBQrrSO1QfR,74,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
735,ENHYPEN,Blessed-Cursed,7ecbsiAQ6PNdiAq0hplVZo,73,0.604,0.886,4,-3.523,0,0.061,0.0925,0.0,0.596,0.401,127.098,170805,4
28,Kenshi Yonezu,M八七,3sFdaHo9D3hfiFt2wVi6a5,73,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23e-05,0.34,0.334,112.013,263120,4
24,Vaundy,恋風邪にのせて,5PeXak0Ox3JmH2oor0qnGt,73,0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,255914,4
42,Saucy Dog,優しさに溢れた世界で,2mRMcwDCNyYvBXaoUxmsmE,72,0.518,0.773,2,-7.454,1,0.0468,0.237,3.61e-06,0.126,0.526,147.937,258208,4
10,BE:FIRST,Bye-Good-Bye,0rPrGZTtScNSRL2jZoooKO,72,0.877,0.639,2,-5.509,1,0.0496,0.108,0.0,0.0806,0.79,115.028,181013,4
32,Macaroni Empitsu,なんでもないよ、,5W7Y92LB4jWvu9NeEQ0GZl,72,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4
675,SEVENTEEN,DON QUIXOTE,7BiEgR5r0yMmFoWC9kOTGf,71,0.733,0.837,1,-4.537,1,0.0992,0.0671,0.0,0.0939,0.606,76.453,172360,4
52,Yuuri,ドライフラワー,4kPlQKwtPrnqLgrmmKFSlA,71,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
50,Yuuri,シャッター,19mjCzLuMHZ0Tyn3eI85bo,71,0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,248947,4
831,NCT DREAM,Glitch Mode,5b1PngLlxc7hj3fJXrE2Zm,71,0.634,0.78,0,-2.323,0,0.0963,0.0164,0.0,0.141,0.694,166.923,207053,4
238,Billlie,GingaMingaYo (the strange world),3jHg6QE70y2FTdnsxSrCbv,70,0.888,0.901,10,-4.023,0,0.079,0.0323,0.00955,0.357,0.65,121.997,215800,4
60,Mrs. GREEN APPLE,ダンスホール,4NaaF28BeO9WzjDrSS71Nz,70,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
64,Fujii Kaze,きらり,51oc6MEsXTpnPn6GOw5VuP,70,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
54,Kyanai,バニラ,0zfNtgPJ5FLkbveRjSdCMb,70,0.641,0.698,10,-3.934,1,0.0307,0.028,0.0,0.13,0.521,113.041,251051,4
58,Novelbright,愛とか恋とか,1VHL1PIkhDwWbFc65xHwOr,70,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4
44,Kep1er,WA DA DA,0hQNbQKW2dDATH1ngj4TI6,69,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,183693,4
91,YOASOBI,好きだ,7537JfhvVpEqkrY2CIY7zu,69,0.771,0.935,4,-3.366,0,0.0327,0.174,1.06e-06,0.404,0.86,120.032,217512,4
72,Lilas Ikuta,スパークル,6EuubEs5qOmJdpNhkU47OZ,69,0.614,0.579,11,-4.937,1,0.038,0.417,0.0,0.0666,0.692,149.831,213600,4
66,Uru,それを愛と呼ぶなら,3ibqi5ANZtNI7QXOgUnFsL,69,0.493,0.527,10,-5.126,1,0.0342,0.729,0.0,0.0989,0.452,169.974,294667,4
296,YENA,SMILEY(Feat. BIBI),4zCIxSnVWpGNghERX4uWZF,69,0.652,0.91,9,-3.444,1,0.134,0.0963,1.25e-05,0.093,0.82,155.967,173413,4
166,Vaundy,裸の勇者,3k64vNcgYPkETG7TNgpW4o,68,0.442,0.888,9,-5.747,0,0.121,0.0127,0.000727,0.2,0.435,163.032,201973,4
200,XG,MASCARA,4OelNEcxPGoCOU29fchcsv,68,0.794,0.877,9,-3.608,0,0.0827,0.0482,1.99e-06,0.241,0.506,119.013,191440,4
